,,Total Mean Annual Household Income estimate,,,,,,,,,,,,,Total Median Annual Household Income estimate,,,,,,,,,,,,,
,,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,,
E09000032,Wandsworth,"£44,900","£45,530","£47,610","£50,610","£51,560","£54,840","£55,860","£59,950","£60,060","£62,410","£64,740","£66,220",,"£32,800","£33,340","£34,370","£36,450","£36,580","£38,760","£39,960","£41,260","£43,110","£44,330","£46,550","£47,480",,
E09000033,Westminster,"£55,470","£56,250","£58,820","£62,490","£63,630","£67,610","£68,780","£73,710","£73,710","£76,450","£79,140","£80,760",,"£33,190","£33,740","£34,770","£36,880","£36,980","£39,150","£40,320","£41,580","£43,380","£44,530","£46,670","£47,510",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E13000001,Inner London,"£37,520","£38,140","£39,980","£42,610","£43,540","£46,430","£47,420","£51,020","£51,240","£53,380","£55,500","£56,890",,"£27,150","£27,650","£28,560","£30,370","£30,550","£32,450","£33,530","£34,710","£36,350","£37,460","£39,420","£40,290",,
E13000002,Outer London,"£33,700","£34,060","£35,500","£37,630","£38,250","£40,600","£41,270","£44,210","£44,210","£45,870","£47,520","£48,530",,"£27,100","£27,450","£28,210","£29,850","£29,890","£31,600","£32,520","£33,520","£34,980","£35,910","£37,660","£38,360",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,"£22,837","£23,904","£25,240","£25,838","£26,193","£28,350","£28,600","£30,198","£30,535","£31,816","£32,494","£33,220",,"£17,150","£18,210","£19,310","£19,100","£19,510","£21,210","£21,620","£21,810","£23,410","£24,530","£25,070","£25,010",,
E12000002,North West,"£25,313","£25,856","£26,547","£27,372","£28,974","£29,831","£30,160","£31,042","£32,960","£34,142","£35,286","£36,140",,"£19,850","£20,170","£20,950","£22,010","£23,280","£23,620","£24,150","£24,710","£25,900","£26,730","£27,950","£28,550",,
E12000003,Yorkshire and the Humber,"£23,049","£23,604","£24,735","£25,777","£26,568","£28,510","£29,640","£30,496","£31,729","£32,386","£33,983","£34,470",,"£17,770","£18,220","£19,310","£20,700","£20,890","£22,110","£22,670","£23,160","£24,870","£25,700","£27,170","£27,320",,
E12000004,East Midlands,"£23,622","£24,554","£26,200","£26,599","£28,450","£30,031","£31,200","£32,700","£32,609","£33,371","£34,659","£35,400",,"£19,950","£20,720","£21,650","£22,380","£24,120","£25,060","£25,380","£24,720","£26,050","£26,320","£27,650","£28,140",,
E12000005,West Midlands,"£24,942","£25,584","£26,800","£27,991","£28,333","£29,150","£31,200","£32,809","£34,781","£35,788","£37,421","£38,060",,"£19,790","£20,390","£21,320","£21,600","£21,840","£23,210","£24,610","£26,120","£26,700","£27,690","£29,210","£29,480",,
E12000006,East of England,"£29,196","£30,173","£32,115","£33,005","£33,810","£34,895","£36,400","£37,708","£37,439","£39,171","£40,519","£40,940",,"£23,460","£24,910","£26,210","£26,820","£27,350","£27,550","£28,950","£29,730","£29,350","£30,520","£31,300","£31,610",,
E12000007,London,"£35,236","£35,684","£37,283","£39,602","£40,335","£42,889","£43,680","£46,876","£46,953","£48,795","£50,616","£51,770",,"£27,110","£27,520","£28,350","£30,050","£30,140","£31,940","£32,920","£33,990","£35,510","£36,520","£38,340","£39,110",,
E12000008,South East,"£33,075","£34,520","£35,457","£36,311","£37,831","£39,567","£41,600","£42,500","£45,089","£46,658","£47,733","£48,720",,"£26,790","£28,230","£29,790","£29,570","£31,240","£32,720","£33,380","£34,290","£35,430","£35,950","£37,440","£38,120",,
E12000009,South West,"£25,927","£27,663","£28,243","£30,217","£30,273","£31,729","£32,760","£34,573","£35,273","£35,737","£36,910","£37,290",,"£20,800","£21,540","£22,190","£22,860","£23,650","£25,190","£25,660","£26,640","£27,500","£28,050","£29,250","£29,530",,
W92000004,Wales,"£21,237","£22,407","£23,329","£24,081","£25,693","£26,895","£28,080","£29,591","£29,445","£30,286","£32,134","£33,130",,"£16,680","£18,090","£19,400","£20,050","£21,900","£22,160","£22,710","£24,230","£23,030","£23,870","£25,350","£26,090",,
S92000003,Scotland,"£24,113","£25,884","£26,570","£28,838","£29,642","£30,663","£31,966","£33,224","£35,257","£36,701","£37,353","£38,140",,"£18,940","£20,260","£20,370","£21,860","£22,530","£23,620","£24,840","£25,040","£27,210","£27,630","£28,960","£29,470",,
N92000002,Northern Ireland,"£22,440","£23,244","£24,186","£25,169","£26,011","£27,223","£28,227","£29,413","£30,404","£31,382","£32,444","£33,070",,"£18,370","£19,110","£19,890","£20,580","£21,350","£22,410","£23,010","£23,660","£24,610","£25,320","£26,390","£26,860",,
K02000001,UK,"£26,758","£27,715","£28,839","£30,011","£31,016","£32,460","£33,657","£35,072","£36,254","£37,420","£38,685","£39,430",,"£20,940","£21,780","£22,670","£23,450","£24,330","£25,540","£26,220","£26,970","£28,050","£28,860","£30,070","£30,600",,
